ra,dec,z
195.504361164,27.65296692,0.0236465
196.301643648,27.569747971,0.0229628
193.474751155,28.186587449,0.0256367
193.541644032,28.092501398,0.0210446
193.949267042,28.256097253,0.0270093
194.374960067,28.188067903,0.0231283
194.368457488,28.176423728,0.0272495
194.452764792,28.180422917,0.0241129
194.55750701,28.182542779,0.0239513
194.562684517,28.125899137,0.0247038
194.625845411,28.014739105,0.023838
194.651446525,28.113734852,0.0226955
194.490487587,28.061779104,0.02714
194.590436104,28.14875085,0.0262778
194.722666789,28.126061544,0.0233774
194.766255218,28.123690323,0.0264517
194.80800656,28.076235313,0.0260466
194.932188981,27.994675622,0.022251
194.983390734,28.034711958,0.0271882
194.979559186,28.128354472,0.0252335
195.018513939,27.987569894,0.0212526
195.037984681,28.170388458,0.0225232
195.033298978,28.078564956,0.0241407
195.026618422,28.004116333,0.0242459
195.053602966,28.075495183,0.0250332
195.061437519,28.041296033,0.0191201
195.092231982,28.047006868,0.0272711
195.148214721,28.14612508,0.0182186
195.157755866,28.058088719,0.0255275
195.161511386,28.014528672,0.0253529
195.170207216,27.996606475,0.0236386
195.203352304,28.158338234,0.0193699
195.1781477,27.971263335,0.0212555
195.202704946,28.090736991,0.0232418
195.226922057,28.007638014,0.0166225
195.44593035,28.094994613,0.0193522
195.489930872,28.00583482,0.0257488
195.660218628,28.114563445,0.0248841
195.684998748,28.045333684,0.0207634
195.735729208,28.070389331,0.0258848
195.961649064,27.988364486,0.0211797
195.855547295,28.013989325,0.0265438
196.805022768,28.04694338,0.0243526
195.12139882,26.675342997,0.0239553
195.871153336,26.550495605,0.0221002
193.523031555,27.068614856,0.0252136
194.13352675,27.055579465,0.0204103
194.181341955,27.178793344,0.0253103
194.20691503,27.093908405,0.0230811
194.40230206,27.031369675,0.024526
194.486117763,27.037503026,0.0247184
194.651532539,27.104134842,0.0264916
193.638296046,27.63275922,0.0243892
193.871245181,27.521433526,0.0232714
194.069550366,27.445970829,0.0213602
194.142455721,27.538950177,0.0236565
194.289247692,27.466398985,0.0248502
194.294844884,27.404897346,0.0206777
194.35151143,27.497814022,0.0244784
194.357691319,27.546131601,0.0185713
194.3994106,27.493231942,0.0243872
194.400576235,27.48481088,0.0241305
194.50652321,27.489665252,0.0254306
194.633634431,27.456333127,0.0234198
194.80712941,27.402563635,0.0188625
195.079621041,27.55372066,0.0196411
195.111928599,27.515590571,0.0259511
195.208040424,27.405780555,0.0219822
196.575931411,27.255042225,0.025315
192.932446211,27.96283436,0.0230878
193.954175711,27.905863408,0.0231273
193.83333205,27.866682835,0.0232595
194.041246403,27.844252485,0.0252572
194.124217881,27.93999381,0.0221315
194.178574776,28.020448324,0.0208672
194.340602697,27.880432056,0.0248089
194.450299643,27.883061483,0.0195321
194.461003187,27.879488925,0.0231735
194.447117377,27.833311596,0.0201877
194.514631355,27.814917109,0.0237746
194.590980084,27.96778393,0.0200533
194.703051119,27.810429874,0.0197444
194.733316828,27.833427939,0.0251028
194.775130718,27.996697692,0.0255748
194.783124084,27.854963453,0.021927
194.750316405,27.967476303,0.0277459
194.834069223,27.885990842,0.0216236
194.855548704,27.967926638,0.0257054
194.892177715,27.946835989,0.0239514
194.874859405,27.956426884,0.0226674
194.915249242,27.953904545,0.0267884
194.898789647,27.959263355,0.0239087
194.872535404,27.850134511,0.0226445
194.886661317,27.983598349,0.0194278
194.907960559,27.907318859,0.026711
194.93502781,27.91245458,0.022351
194.942186668,27.857227541,0.0269887
194.986053045,27.930024997,0.0257071
195.033881992,27.97693882,0.0215017
195.02545847,27.978294846,0.0254602
195.022937068,27.807601134,0.021926
195.026213896,27.775759964,0.0206079
195.073661547,27.955250316,0.022843
195.075401933,27.956580182,0.0212404
195.11653479,27.955969271,0.023362
