"name" "ra" "dec"
"Kepler-1197" 291.66928 42.59071
"Kepler-1198" 288.83401 44.838249
"Kepler-1199" 293.72586 47.24704
"Kepler-12" 286.24344 50.040379
"Kepler-120" 287.89163 39.33913
"Kepler-1200" 296.60342 44.129261
"Kepler-1201" 294.61481 40.833172
"Kepler-1202" 292.29062 44.653252
"Kepler-1204" 289.4415 42.498131
"Kepler-1205" 290.27969 41.515049
"Kepler-1206" 295.93842 49.791142
"Kepler-1207" 295.06424 49.35899
"Kepler-1208" 291.88126 44.555729
"Kepler-1209" 287.5849 49.154789
"Kepler-121" 286.16205 39.678001
"Kepler-1210" 292.83215 48.21936
"Kepler-1211" 285.72079 40.85696
"Kepler-1212" 296.85342 50.03735
"Kepler-1213" 289.48581 50.94416
"Kepler-1214" 285.14264 49.800671
"Kepler-1215" 297.46362 48.181412
"Kepler-1216" 287.40533 45.918011
"Kepler-1217" 289.18668 50.937561
"Kepler-1218" 291.57898 44.531712
"Kepler-1219" 297.21579 47.378521
"Kepler-122" 291.11188 39.949108
"Kepler-1220" 297.07037 42.977741
"Kepler-1221" 285.82233 45.711891
"Kepler-1222" 294.88965 49.379768
"Kepler-1223" 285.29575 44.55275
"Kepler-1224" 286.62576 37.5373
"Kepler-1225" 290.6333 40.13699
"Kepler-1226" 296.37692 50.621471
"Kepler-1227" 287.06638 41.874908
"Kepler-1228" 296.55307 46.96629
"Kepler-1229" 297.48669 46.996712
"Kepler-123" 296.99863 42.78196
"Kepler-1230" 283.2645 41.711449
"Kepler-1231" 288.58835 42.605659
"Kepler-1232" 296.55005 49.102322
"Kepler-1233" 297.37509 46.662209
"Kepler-1234" 287.52203 51.375858
"Kepler-1235" 284.90302 43.95396
"Kepler-1236" 295.62469 42.545898
"Kepler-1237" 295.62927 44.69062
"Kepler-1238" 297.90579 40.162861
"Kepler-1239" 293.12738 42.320099
"Kepler-124" 286.75278 49.064911
"Kepler-1240" 282.99973 40.557449
"Kepler-1241" 294.57623 38.45697
"Kepler-1242" 284.6062 41.196381
"Kepler-1243" 294.00946 42.880772
"Kepler-1244" 282.30121 46.516201
"Kepler-1245" 290.74432 43.26078
"Kepler-1246" 287.65741 48.982159
"Kepler-1247" 294.53354 46.618271
"Kepler-1248" 288.0593 51.35445
"Kepler-1249" 296.89484 44.37178
"Kepler-125" 298.25812 47.604939
"Kepler-1250" 287.79385 45.98024
"Kepler-1251" 292.11517 49.256432
"Kepler-1252" 298.95032 46.692799
"Kepler-1253" 283.8851 47.637218
"Kepler-1254" 285.17334 48.770039
"Kepler-1255" 295.23926 42.726479
"Kepler-1256" 291.4743 44.68351
"Kepler-1257" 296.07568 45.62706
"Kepler-1258" 285.40494 49.99474
"Kepler-1259" 297.84149 46.967682
"Kepler-126" 289.34732 44.208511
"Kepler-1260" 295.59125 42.555241
"Kepler-1261" 285.23245 48.806721
"Kepler-1262" 288.77182 42.213219
"Kepler-1263" 286.48364 46.752621
"Kepler-1264" 289.88437 45.211498
"Kepler-1265" 284.58578 47.079529
"Kepler-1266" 285.86929 42.728088
"Kepler-1267" 299.16953 43.44109
"Kepler-1268" 287.83847 43.153229
"Kepler-1269" 287.80557 45.340549
"Kepler-127" 285.19 46.027962
"Kepler-1270" 286.71564 48.645279
"Kepler-1271" 286.3443 37.411968
"Kepler-1272" 285.21985 38.805882
"Kepler-1273" 285.80322 44.873428
"Kepler-1274" 284.59372 46.44978
"Kepler-1275" 293.50049 44.932461
"Kepler-1276" 287.85699 40.54718
"Kepler-1277" 295.10242 40.572392
"Kepler-1278" 282.95694 42.825619
"Kepler-1279" 288.09564 40.365971
"Kepler-128" 282.49222 43.980209
"Kepler-1280" 293.57394 45.384541
"Kepler-1281" 295.35446 48.5154
"Kepler-1282" 290.17618 46.698341
"Kepler-1283" 295.46234 40.77697
"Kepler-1284" 291.27899 47.687649
"Kepler-1285" 281.83533 44.155918
"Kepler-1286" 280.25839 43.835758
"Kepler-1287" 289.13467 47.062988
"Kepler-1288" 285.7135 41.605885
"Kepler-1289" 296.38882 41.040569
"Kepler-129" 285.31125 47.848564
"Kepler-1290" 290.68524 43.859638
"Kepler-1291" 289.37704 40.00116
"Kepler-1292" 284.90573 43.949162
"Kepler-1293" 290.02591 48.335949
"Kepler-1294" 291.2681 44.48819
"Kepler-1295" 291.39786 45.588558
"Kepler-1296" 292.12521 41.40781
"Kepler-1297" 289.95651 47.02039
"Kepler-1298" 284.42273 49.10622
"Kepler-1299" 286.15015 37.411369
"Kepler-13" 286.97119 46.868359
"Kepler-130" 288.45065 40.245327
"Kepler-1300" 289.03302 40.086891
"Kepler-1301" 286.60416 42.440319
"Kepler-1302" 290.98923 50.30806
"Kepler-1303" 284.28714 42.35561
"Kepler-1304" 285.27643 39.446911
"Kepler-1305" 297.33945 46.347252
"Kepler-1306" 294.47833 46.945862
"Kepler-1307" 292.86984 46.741859
"Kepler-1308" 285.92889 38.520981
"Kepler-1309" 298.73523 40.76416
"Kepler-131" 288.53082 40.942299
"Kepler-1310" 283.92004 40.740131
"Kepler-1311" 289.65125 43.824421
"Kepler-1312" 292.97125 41.03577
"Kepler-1313" 292.38855 42.233261
"Kepler-1314" 294.23764 45.197105
"Kepler-1315" 295.82144 46.053028
"Kepler-1316" 298.83588 40.29314
"Kepler-1317" 291.61188 42.115971
"Kepler-1318" 290.37631 41.150742
"Kepler-1319" 290.95615 49.366398
"Kepler-132" 283.23581 41.34304
"Kepler-1321" 294.52859 46.640968
"Kepler-1322" 293.20453 45.435398
"Kepler-1323" 292.87228 46.098881
"Kepler-1324" 291.18497 40.311211
"Kepler-1325" 285.01721 42.085381
"Kepler-1326" 296.22214 39.268959
"Kepler-1327" 289.06485 50.460972
"Kepler-1328" 284.67538 44.41777
"Kepler-1329" 281.64774 48.271049
"Kepler-133" 297.27798 48.320332
"Kepler-1330" 290.57672 39.95689
"Kepler-1331" 297.07379 41.22448
"Kepler-1332" 291.02859 43.91367
"Kepler-1333" 293.52756 41.111439
"Kepler-1334" 289.31149 51.320862
"Kepler-1335" 284.83841 42.070431
"Kepler-1336" 296.27771 46.89986
"Kepler-1337" 287.00909 46.796101
"Kepler-1338" 284.04233 41.699139
"Kepler-1339" 283.74582 48.373432
"Kepler-134" 284.73904 49.5984
"Kepler-1340" 296.23282 42.47279
"Kepler-1341" 280.51175 44.159351
"Kepler-1342" 297.02008 43.432549
"Kepler-1343" 294.29453 50.725368
"Kepler-1344" 287.0863 46.945808
"Kepler-1345" 292.47797 46.022831
"Kepler-1346" 291.84131 45.17918
"Kepler-1347" 299.65961 40.843849
"Kepler-1348" 292.08746 49.788761
"Kepler-1349" 286.33835 48.744099
"Kepler-135" 290.49512 38.795479
"Kepler-1350" 288.25058 46.679611
"Kepler-1351" 293.60873 42.197681
"Kepler-1352" 290.69373 48.701481
"Kepler-1353" 295.73535 42.576248
"Kepler-1354" 291.24518 37.75906
"Kepler-1355" 283.74142 49.067982
"Kepler-1356" 290.99536 43.243938
"Kepler-1357" 291.5481 50.35331
"Kepler-1358" 286.17053 43.008911
"Kepler-1359" 289.53882 41.892818
"Kepler-136" 296.46732 42.598785
"Kepler-1360" 300.34406 45.623219
"Kepler-1361" 283.56531 46.904251
