"cataid" "ra" "dec" "sigmaid"
"84" 7032 175.22480572145 0.764593125142614 143164
"85" 7039 175.4298 0.660649 143170
"86" 7040 175.4528 0.757746 143171
"87" 7043 175.347286178876 0.633630516030279 143176
"88" 7045 175.35432485325 0.632952392778857 143173
"89" 7049 175.375360251414 0.63626086659732 143183
"90" 7052 175.405377723419 0.647861121864516 143182
"91" 7054 175.418750428824 0.643349215807226 143188
"92" 7055 175.4207 0.739162 143184
"93" 7060 175.3938 0.705079 143191
"94" 7069 175.5074 0.677329 143199
"95" 7070 175.5292 0.8121546 143200
"96" 7072 175.5539 0.7341642 143201
"97" 7076 175.528682798926 0.64368529369971 143205
"98" 7077 175.530078501009 0.733895736158563 143206
"99" 7079 175.5536 0.6328654 143210
"100" 7080 175.55220964521 0.63341802545089 143211
"101" 7083 175.55980166366 0.738519341966472 143212
"102" 7084 175.560243797689 0.722670989227971 143213
"103" 7086 175.57031270183 0.638796736212281 143215
"104" 7088 175.5913 0.6687369 143219
"105" 7097 175.6752 0.7547692 143227
"106" 7100 175.6572 0.7698073 143229
"107" 7102 175.6717 0.7178514 143231
"108" 7103 175.6813 0.7916918 143232
"109" 7104 175.7123 0.8323677 143233
"110" 7107 175.7889 0.7332798 143236
"111" 7109 175.649054522769 0.768109916618253 143238
"112" 7112 175.66519659505 0.692843968332684 143241
"113" 7116 175.7235 0.7453075 143244
"114" 7117 175.737661567127 0.722604758084456 143245
"115" 7118 175.740999049079 0.722480521718732 143250
"116" 7119 175.771363764362 0.682695548027353 143247
"117" 7130 175.8097 0.7631042 143257
"118" 7135 175.9387 0.6396143 143261
"119" 7136 175.7925 0.7173436 143262
"120" 7137 175.7912 0.742166 143263
"121" 7138 175.8174 0.6468781 143264
"122" 7139 175.8283 0.7478742 143265
"123" 7140 175.8524 0.7024838 143267
"124" 7147 175.806305132754 0.769368959520002 143276
"125" 7149 175.8179 0.83805 143272
"126" 7157 175.922124425807 0.647465720408886 143283
"127" 7167 175.91 0.6990179 143291
"128" 7176 176.0176 0.762204 143297
"129" 7177 176.0239 0.7734469 143298
"130" 7179 176.0446 0.766143 143300
"131" 7182 176.0853 0.8035962 143302
"132" 7188 176.0348 0.7170447 143308
"133" 7192 176.072666529966 0.785385751325569 143315
"134" 7193 176.0765 0.768424 143311
"135" 7203 176.1218 0.76703 143324
"136" 7205 176.1537 0.680359 143325
"137" 7206 176.1641 0.7495643 143329
"138" 7209 176.1859 0.6565064 143330
"139" 7210 176.2141 0.7580231 143331
"140" 7211 176.2241 0.7077478 143332
"141" 7214 176.125487552296 0.807784617376345 143335
"142" 7216 176.173939598235 0.737674801928323 143341
"143" 7234 176.2995 0.6756644 143353
"144" 7235 176.340835389555 0.781706347204522 143354
"145" 7237 176.318 0.8165612 143356
"146" 7238 176.3639 0.8188984 143358
"147" 7241 176.3231 0.6468669 143360
"148" 7246 176.3075 0.646087 143365
"149" 7248 176.3677 0.7848818 143367
"150" 7254 176.4307 0.6739642 143371
"151" 7255 176.4424 0.797475 143372
"152" 7259 176.4769 0.8376298 143376
"153" 7260 176.4844 0.8148126 143377
"154" 7264 176.5408 0.6999984 143381
"155" 7266 176.5397 0.7180753 143382
"156" 7268 176.655801364378 0.777005413085621 143385
"157" 7269 176.6796 0.8274131 143384
"158" 7270 176.5559 0.6746579 143387
"159" 7286 176.7522 0.7776616 143404
"160" 7287 176.7712 0.6474938 143400
"161" 7288 176.774030724503 0.715444746638411 143401
"162" 7289 176.775 0.635686 143402
"163" 7290 176.7746 0.7399075 143403
"164" 7291 176.779 0.806363 143405
"165" 7292 176.807 0.7037141 143406
"166" 7293 176.810999195426 0.633731316130041 143407
"167" 7294 176.8168 0.8280375 143408
"168" 7295 176.718802462116 0.641840758357164 143410
"169" 7302 176.7973 0.7787102 143416
"170" 7307 176.8529 0.8190565 143420
"171" 7311 176.9305 0.6569451 143424
"172" 7312 176.9569 0.7091832 143426
"173" 7313 176.9714 0.697946 143427
"174" 7314 176.9784 0.6678116 143428
"175" 7315 176.9815 0.661393 143431
"176" 7329 177.024660410349 0.798522804244621 143443
"177" 7331 177.0684423225 0.789628732225396 143444
"178" 7336 177.0124 0.6460675 143447
"179" 7338 177.0701 0.6476572 143450
"180" 7339 177.0715 0.7920016 143449
"181" 7340 177.0977 0.6356181 143451
"182" 7344 176.9915 0.6761237 143455
"183" 7346 177.0001 0.6906941 143457
"184" 7347 177.03152731729 0.795623738495136 143459
"185" 7355 177.061 0.8316152 143466
"186" 7365 177.203941672882 0.829955314237205 143474
"187" 7366 177.2522 0.749945 143475
"188" 7368 177.2796 0.6820134 143477
"189" 7369 177.152 0.7812907 143479
"190" 7370 177.1542 0.7885028 143480
"191" 7371 177.155 0.7812805 143481
"192" 7372 177.1512 0.788566 143482
"193" 7375 177.1654 0.829198 143484
"194" 7376 177.1856 0.6886593 143486
"195" 7377 177.2003 0.7742349 143485
"196" 7379 177.2566 0.7808811 143487
"197" 7380 177.2587 0.8377747 143491
"198" 7381 177.2627 0.7620483 143492
"199" 7382 177.2803 0.6440448 143488
"200" 7383 177.281 0.7743548 143489
"201" 7384 177.2828 0.6904254 143490
"202" 7385 177.1433 0.8033229 143493
"203" 7387 177.167331716892 0.837932125684683 143494
"204" 7389 177.176818013463 0.750649096119785 143496
"205" 7403 177.2913 0.690356 143509
"206" 7404 177.2975 0.6919985 143511
"207" 7405 177.3013 0.799285 143512
"208" 7406 177.3076 0.7860864 143510
"209" 7407 177.3349 0.754037 143515
"210" 7408 177.3363 0.7346592 143513
"211" 7409 177.3366 0.7497058 143514
"212" 7410 177.3676 0.7189954 143517
"213" 7411 177.381212813885 0.734847755177933 143516
"214" 7416 177.330249697963 0.793902939344748 143522
